LargeBoxStack50 (K-Cycles)

Bullet 2.82; 191269; 140851; 141211; 134062; 151943; 160998; 165529; 142310; 137419; 114686; 144859; 167928; 144873; 152039; 149884; 156643; 156928; 166251; 129777; 164757; 165220; 148383; 170934; 157202; 136538; 150073; 109796; 146945; 151264; 137048; 170415; 140244; 139158; 166181; 149990; 128714; 169435; 160151; 163223; 149866; 135095; 190649; 150008; 183975; 142122; 130851; 134124; 140962; 153372; 130473; 131837; 151586; 87363; 183170; 139579; 155678; 163540; 125001; 134088; 130627; 148055; 138467; 145610; 160994; 127922; 114229; 145903; 132573; 148470; 135203; 131294; 106369; 150679; 137591; 142177; 110031; 117414; 126131; 148168; 146179; 144063; 136463; 129399; 140013; 115701; 131080; 139017; 147323; 153198; 149576; 137157; 148908; 101421; 138154; 132583; 161093; 152155; 143689; 149084; 126792; 138494; 135540; 136556; 134184; 
ReactPhysics3D 0.6.0_develop; 364931; 390800; 414116; 442901; 511793; 543928; 536128; 670030; 576830; 528324; 647457; 631055; 663019; 641677; 573834; 582356; 591594; 621009; 447045; 575004; 606529; 449975; 581811; 653902; 586905; 587386; 520607; 566089; 571403; 411692; 580139; 569964; 571174; 570176; 513672; 421759; 588062; 508472; 539990; 516038; 522545; 648013; 515829; 523341; 515914; 519075; 542428; 504696; 528871; 508302; 516770; 563566; 358980; 687514; 562008; 575621; 655213; 385488; 555665; 414178; 618676; 513668; 531853; 634286; 526288; 479142; 589106; 530307; 553814; 556741; 548152; 469514; 508041; 562799; 419915; 527437; 435983; 509252; 554351; 535473; 616625; 522776; 548845; 528907; 422559; 542057; 532810; 588558; 534960; 559760; 543187; 567972; 477364; 536278; 602963; 556501; 560980; 546797; 549603; 553333; 522318; 541247; 572824; 560701; 


Memory usage (Kb):

Bullet 2.82; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 11215; 
ReactPhysics3D 0.6.0_develop; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
